Alpinia Galanga
Amaranthus Viridis
Artocarpus Heterophyllus
Azadirachta Indica
Basella Alba
Brassica Juncea
Carissa Carandas
Citrus Limon
Ficus Auriculata
Ficus Religiosa
Hibiscus Rosa-sinensis
Jasminum
Mangifera Indica
Mentha
Moringa Oleifera
Muntingia Calabura
Murraya Koenigii
Nerium Oleander
Nyctanthes Arbor-tristis
Ocimum Tenuiflorum
Piper Betle
Plectranthus Amboinicus
Pongamia Pinnata
Psidium Guajava
Punica Granatum
Santalum Album
Syzygium Cumini
Syzygium Jambos
Tabernaemontana Divaricata
Trigonella Foenum-graecum
